,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
176,Restaurant Ca L'Estevet,,,4.5,,C/Valldonzella 46,"08960 Sant Feliu de Llobregat, Spain",41.3999536,2.0659335
177,BarCeloneta Sangria Bar,,€4 - €9,4.5,,"Carrer de Sevilla, 70","Bar Celoneta Sangria Bar, Carrer de Sevilla, 70, 08003 Barcelona, Spain",41.3768604,2.1899727
178,Bambu Beach Bar,,,4.5,,Av. Litoral S/N,"Catalonia, Spain",41.66667,2.0
179,Caravelle,,,4.5,,Pintor Fortuny 31,"Caravelle, Carrer del Pintor Fortuny, 31, 08001 Barcelona, Spain",41.3822872,2.1688475
180,Luigi Ristorante,,,4.5,,Roger de Lluria 50,"Roger De Lluria, Carrer de Roger de Llúria, 08010 Barcelona, Spain",41.3910629,2.1718498
181,Ardevol,,"Mediterranean, European, Spanish, Catalan",4.5,,Avinguda Gaudi 8,"Avinguda d'en Gaudí, Mediona, Spain",41.4770176,1.6091548
182,Gaudim Restaurant,,,4.5,,"Carrer Arago, 231","Carrer Aragó, 08870 Sitges, Spain",41.2387213,1.8155559
183,Restaurante Fukamura,,€15 - €25,4.5,,Calle Corsega 479,"Còrsega, 08192 Sant Quirze del Vallès, Spain",41.5294463,2.0700326
184,Damasco Arabian Restaurant,,€11 - €28,5.0,,"Carrer Sant Pere Mes Alt, 18","Carrer Sant Pere Més Alt, 08301 Mataró, Spain",41.5414289,2.4448454
185,Ascent Restaurant,,€25 - €100,4.5,,Carrer dels Arcs 10,"Carrer dels Arcs, Barcelona, Spain",41.3845381,2.1746268
186,Madeleine Mon Amour,,€10 - €30,4.5,,"Rambla Del Poblenou, 117-119","Rambla del Poblenou, 08018 Barcelona, Spain",41.4066456,2.1941315
187,Tuscania Food and Wine,,,4.5,,Calle Mallorca 434,"Carrer Mallorca, 08110 Montcada i Reixac, Spain",41.4936096,2.1863173
188,Bastaix,,€9 - €20,4.5,,C/Ases 5,"Torrent del Pixador dels Ases, 08318 Mataró, Spain",41.5752321,2.4446619
189,Vivant,,,4.5,,Consell de Cent 394,"Consell de Cent, Carrer del Consell de Cent, 8015 Barcelona, Spain",41.3754015,2.143262
190,Tras Paso,,,4.5,,Calle Fluvia 24,"Carrer Fluvia, 08380 Malgrat de Mar, Spain",41.6532985,2.7418749
191,Shunka,,€25 - €100,4.5,,c/Sagristans 5,"Carrer dels Sagristans, 08002 Barcelona, Spain",41.3852318,2.1755573
192,Nomm,,,4.5,,Av del Paral-lel 130,"Catalonia, Spain",41.66667,2.0
193,Arrosseria Las Arenas,,€15 - €45,4.5,,"Carrer de Llanca, 15-21","Carrer de Llançà, 8015 Barcelona, Spain",41.3754021,2.1516893
194,Single Fin Bcn,,€7 - €15,5.0,,Sicilia 294,"Carrer de Sicília, 294, 08013 Barcelona, Spain",41.4016209,2.1735781
195,Gilda by Belgious,,€19 - €39,4.5,,"Calle Ample, 34","Carrer Ample, 08002 Barcelona, Spain",41.3790953,2.1790621
196,El Xiringo,,€20 - €40,4.5,,Cr. Sant Carles no23,"Sant Carles, Galeries Sant Carles, 08401 Granollers, Spain",41.6084569,2.285578
197,Gatblau Restaurant,,€15 - €35,4.5,,Calle Comte Borrell 122,"Carrer Comte Borrell, 08830 Sant Boi de Llobregat, Spain",41.3478785,2.040673
198,Juice Dudes,,€5 - €9,5.0,,"Ronda De La Universitat, 1","Ronda de la Universitat, 08007 Barcelona, Spain",41.3860501,2.1649346
199,Flaherty's Irish Pub Barcelona,,,4.5,,Plaza Joaquim Xirau,"Plaça Joaquim Xirau i Palau, 80002 Barcelona, Spain",41.3787434,2.1767643
200,Sabores de Portugal,,€5 - €20,4.5,,Carrer del Carme 95,"Carrer del Carme, 95, 08380 Malgrat de Mar, Spain",41.6452985,2.7406253
201,La Cova Fumada,,,4.5,,"Calle Baluard, 56","Baluard, Carrer de Marià Aguiló, 08005 Barcelona, Spain",41.4024489,2.2014463
202,Obe Restaurant,,€15 - €42,4.5,,Placa de Santa Caterina 1,"Plaça de Santa Caterina, CP 08003 Barcelona, Spain",41.3854702,2.1788041
203,Ramen House Barcelona Izakaya,,€5 - €10,4.5,,"Ronda Sant Pau, 7","Ronda Sant Pau, Avinguda del Paral·lel, 08001 Barcelona, Spain",41.3750966,2.1681601
204,Hawker 45,,€12 - €25,4.5,,"Carrer de Casp, 45","Carrer de Casp, 08013 Barcelona, Spain",41.3974988,2.1815631
205,Pepito Restaurante,,,4.5,,Pasaje Domingo 3,"Avinguda de Josep Ferrer i Domingo, Rubí, Spain",41.4919119,2.0246255
206,Bar Bacaro,,"Italian, Mediterranean, European",4.5,,Calle Jerusalem 6 Loc 1,"Catalonia, Spain",41.66667,2.0
207,The Alchemix,,€55 - €105,4.5,,"C/ de Valencia, 212","Valencia, Carrer de València, 08291 Ripollet, Spain",41.4943576,2.1695649
208,TocaTeca,,,4.5,,"Garcilaso, 172","Garcilaso, Carrer de Felip II, 138, 08027 Barcelona, Spain",41.4233499,2.1833006
209,maccaroni,,,4.5,,"Carders, 6","Carrer dels Carders, 08204 Sabadell, Spain",41.5282016,2.1129728
210,Cafeliz,,€3 - €10,5.0,,Roger de Lluria 46,"Roger De Lluria, Carrer de Roger de Llúria, 08010 Barcelona, Spain",41.3910629,2.1718498
211,Mana 75,,€30 - €55,4.5,,"Passeig de Joan de Borbo, 101","Passeig de Joan de Borbó, Maná 75°, 101, 08039 Barcelona, Spain",41.3687343,2.1884028
212,Chilango's Taqueria Barcelona,,,4.5,,Carrer Nou de la Rambla 95,"Chilango's, Carrer Nou de la Rambla, 95, 08001 Barcelona, Spain",41.3759077,2.1710366
213,La Pepita,,,4.5,,C /Corsega 343,"Còrsega, 08192 Sant Quirze del Vallès, Spain",41.5294463,2.0700326
214,Restaurante Seoul,,"Asian, Korean",4.5,,"Avenida Gaudi, 70","Avinguda d'en Gaudí, Mediona, Spain",41.4770176,1.6091548
215,Ayres del Sur,,€16 - €22,4.5,,"Carrer De Casp, 151","Ayres del Sur, Carrer de Casp, 151, 08013 Barcelona, Spain",41.3986512,2.1828666
216,LA FABRICA,,,4.5,,"Plaza la Llana, 15","La llana, Avinguda de la Llana, 08191 Rubí, Spain",41.5023438,2.03138
217,Flax & Kale,,,4.5,,Carrer dels Tallers 74b,"Carrer dels Tallers, 080007 Barcelona, Spain",41.3851075,2.1652662
218,La Catrina,,€8 - €22,4.5,,"Providencia, 88","La Catrina, Carrer de la Providència, 88, 8 Barcelona, Spain",41.4079968,2.1593468
219,Tapa Tapa La Rambla,,€15 - €25,4.5,,"La Rambla, 26","Tavertet, Catalonia, Spain",42.0135355,2.425772
220,El Cubano,,€15 - €30,5.0,,"Carrer De L'Agricultura, 284","Carrer de l'Agricultura, 284, 08020 Barcelona, Spain",41.4199154,2.1993244
221,Les Finestres de Lluria,,€12 - €30,4.5,,"Calle Roger de Lluria, 60","Carrer Roger de Llúria, 08320 el Masnou, Spain",41.4846098,2.3173693
222,Asian Ways (Paralelo),,€10 - €30,4.5,,Av. Parallel 92,"Avinguda Paral·lel, 08001 Barcelona, Spain",41.37477,2.1730174
223,Numero Nueve,,"Bar, Spanish",4.5,,Carrer de la Vidrieria 9,"número nueve, Carrer de la Vidrieria, 9, CP 08003 Barcelona, Spain",41.3840814,2.1829233
224,Ristorante Margherita,,€20 - €40,4.5,,"Carrer del Rossello, 253","Restaurante Margherita -italian, Carrer del Rosselló, 253, 08008 Barcelona, Spain",41.3952571,2.159525
225,Focacceria Toscana,,€2 - €3,4.5,,Calle Ferran 41,"Cal Pau, Olèrdola, Catalonia, Spain",41.352786,1.7393472
226,Bodega La Palma,,€10 - €25,4.5,,"Carrer de la Palma de Sant Just, 7","Bodega la Palma, Carrer de la Palma de Sant Just, 7, 08002 Barcelona, Spain",41.3822938,2.1787603
227,La Antigua Cabana,,"Seafood, Mediterranean, European, Spanish, Catalan",4.5,,"Carrer de Provenca, 354","Carrer de Provença, La Antigua Cabaña, 354, 08037 Barcelona, Spain",41.3993868,2.1678264
228,Cala Rossita,,"Mediterranean, Spanish, Catalan",4.5,,"Avinguda Diagonal, 3","Foster’s Hollywood, Avinguda Diagonal, 3, 08021 Barcelona, Spain",41.3921,2.14477
229,Abirradero,,€5 - €20,4.5,,"Carrer Vila i Vila, 77","Catalonia, Spain",41.66667,2.0
230,Ramen-ya Hiro,,,4.5,,Carrer Girona 164,"Carrer Girona, 08402 Granollers, Spain",41.6060735,2.300879
231,Miseria e Nobilta,,€7 - €35,4.5,,"Carrer Besalu, 46","Carrer Besalú, 08756 la Palma de Cervelló, Spain",41.4060252,1.9655993
232,Restaurante Filigrana,,"Steakhouse, Contemporary",4.5,,"C/Tarragona, 99","Avinguda de Tarragona, 99, 08720 Vilafranca del Penedès, Spain",41.3416011,1.6949596
233,Bar Restaurante Guixot,,€6 - €13,4.5,,"Riereta, 8","La Riereta, Centre, l'Hospitalet de Llobregat, Catalonia, Spain",41.3564893,2.1008981
234,Bo De Gracia,,,4.5,,"Carrer de la Diputacio, 269","Tapas 24, Carrer de la Diputació, 269, 08007 Barcelona, Spain",41.3908686,2.1674705
235,Bar Rodrigo,,,4.5,,Argenteria 67,"Argenteria, Carrer de l'Argenteria, CP 08003 Barcelona, Spain",41.3837836,2.1799953
236,Restaurante La Palmera,,,4.5,,"C/ Enric Granados , 57","Av. Rius i Taulet, Enric Granados, Avinguda de Rius i Taulet, 08172 Sant Cugat del Vallès, Spain",41.4720436,2.0814069
237,Fonda Espanya Restaurante,,,4.5,,Sant Pau 9,"Sant Pau, Manresa, Catalonia, Spain",41.7146103,1.8341856
238,Macareno,,"International, Spanish, Bar, Mediterranean, European, Catalan",4.5,,Carrer de Les Sitges 10,"Carrer de les Sitges, 08001 Barcelona, Spain",41.384365,2.1696978
239,Sant Marti,,€13 - €40,4.5,,"Carrer del Pont del Treball Digne, 11","Restaurant Sant Marti, Carrer del Pont del Treball Digne, 11, 08020 Barcelona, Spain",41.4218486,2.1973032
240,Restaurante Addis Abeba,,€12 - €24,4.5,,"Calle de Vallespir, 44","Carrer de Vallespir, 08190 Sant Cugat del Vallès, Spain",41.4793375,2.0667975
241,La taberna de lesseps,,€25 - €50,4.5,,"C/ Septimania, 23","La Taberna de Lesseps, Carrer de Septimània, 23, 08006 Barcelona, Spain",41.4055378,2.147779
242,Bodega la Tinaja,,"Mediterranean, Spanish, Wine Bar, Catalan",4.5,,"Carrer de L'esparteria, 9","Carrer de l'Esparteria, CP 08003 Barcelona, Spain",41.3843929,2.1831985
243,Can Paixano (La Xampanyeria),,,4.5,,Carreer de la Reina Christina 7,"Catalonia, Spain",41.66667,2.0
244,Xorus,,,4.5,,Rambla del Poblenou 105,"Rambla del Poblenou, Barcelona, Spain",41.4070751,2.1933213
245,Lluis de les moles,,€20 - €22,4.5,,C/ De Les Moles 25,"Catalonia, Spain",41.66667,2.0
246,Quimet & Quimet,,,4.5,,Poeta Cabanyes 25,"Quimet & Quimet, Carrer del Poeta Cabanyes, 25, 08004 Barcelona, Spain",41.374222,2.1657389
247,La Nina de Mis Ojos,,"Mediterranean, European, Spanish, Healthy, Catalan, International",4.5,,"Carrer de Laforja, 83","Carrer de Laforja, 83, 08021 Barcelona, Spain",41.3960664,2.1447922
248,Taberna Mil Gritos,,,4.5,,"Carrer Comtal, 3","Carrer Comtal, 08397 Pineda de Mar, Spain",41.6274099,2.6967642
249,Ristorante Meraviglioso,,€10 - €22,4.5,,Carrer de Valencia 28,"Nectari, Carrer de València, 28, 08029 Barcelona, Spain",41.3799477,2.1466305
250,Kappo Barcelona,,€17 - €30,4.5,,"Passatge de Lluis Pellicer, 24","Passatge Lluis Pellicer, 08036 Barcelona, Spain",41.3927545,2.1490444
251,Ciudad Condal,,,4.5,,"Rambla de Catalunya, 18","Rambla de Catalunya, Barcelona, Spain",41.3898906,2.1650954
252,Una Mica De Japo,,"Japanese, Asian",4.5,,Carrer d'Arago 104,"Carrer d'Aragó, 102, 104, 08011 Barcelona, Spain",41.3805967,2.1502489
253,El Tiet Taver-Teca,,,4.5,,Corsega 382,"Còrsega, 08192 Sant Quirze del Vallès, Spain",41.5294463,2.0700326
254,Firebug,,,4.5,,Passeig de Sant Joan 23,"Passeig de Sant Joan, 23, 08010 Barcelona, Spain",41.3929657,2.1776196
255,La Llibertaria,,"Bar, Mediterranean, Spanish",4.5,,"Tallers, 48","la Marina del Prat Vermell, Barcelona, Catalonia, Spain",41.3255087,2.134734
256,Bardeni el Meatbar - Caldeni,,€26 - €55,4.5,,Valencia 454,"Valencia, Carrer de València, 08291 Ripollet, Spain",41.4943576,2.1695649
257,Ca L' Andreu,,"Contemporary, Catalan",4.5,,Carrer Del Bou De Sant Pere 13,"Carrer del Bou de Sant Pere, 08003 Barcelona, Spain",41.3876475,2.1771669
258,Rekons,,"Latin, Argentinean",4.5,,"Calle Comte D'Urgell, 32","Carrer Comte d'Urgell, 08859 Begues, Spain",41.3296319,1.9331417
259,Petra,,,4.5,,Sombrerers 13,"Petra, Carrer dels Sombrerers, 13, 08003 Barcelona, Spain",41.3839149,2.1817695
260,El 58,,,4.5,,Rambla Poblenou 58,"Rambla Poblenou, Rambla del Poblenou, 08018 Barcelona, Spain",41.4046882,2.1967694
261,The Fish & Chips Shop,,€8 - €20,4.5,,Calle Balmes 240,"Carrer Balmes, Ripollet, Spain",41.4942494,2.1597027
262,Can Boneta,,"Mediterranean, European, Spanish, Catalan",4.5,,"Calle Balmes, 139","Carrer Balmes, Ripollet, Spain",41.4942494,2.1597027
263,Leka Restaurant,,€12 - €25,4.5,,Calle Badajoz 65,"Carrer Badajoz, 08191 Rubí, Spain",41.5013207,2.0463115
264,Tapeo Born,,,4.5,,"Montcada, 29","Montcada, C-33, 08120 Montcada i Reixac, Spain",41.4951155,2.1914633
265,Restaurante Cafeteria Palermo,,"Mediterranean, European, Spanish",4.5,,"Calle Mallorca, 280","Carrer Mallorca, 08110 Montcada i Reixac, Spain",41.4936096,2.1863173
266,MonDore,,€15 - €30,4.5,,"c/ FLORIDABLANCA, 3","Floridablanca, Carrer Floridablanca, 08301 Mataró, Spain",41.5412263,2.4523552
267,Restaurante Kurai,,,4.5,,"Calle Tarragona, 99","Carrer Tarragona, 08299 Ripollet, Spain",41.4914939,2.1509748
268,b Restaurant,,€10 - €20,5.0,,Carrer Rossello 24,"Carrer Rosselló, 08242 Manresa, Spain",41.7320892,1.8287143
269,Mont Bar,,,4.5,,Diputacio 220,"Diputació, 08733 Puigdàlber, Spain",41.4039736,1.6994345
270,Veg World India,,"Indian, Healthy",4.5,,"Carrer de Bruniquer, 24","Veg World India, Carrer de Bruniquer, 24, 08037 BCN Barcelona, Spain",41.4045705,2.1606703
271,Mirandoalmar,,,4.0,,C / Moll d'Espanya 5,"Moll d'Espanya, 72 Barcelona, Spain",41.3757474,2.1823397
272,Taberna Babia,,€13 - €20,4.5,,"Carrer dels Sagristans, 9","Carrer dels Sagristans, 08002 Barcelona, Spain",41.3852318,2.1755573
273,Ferrum,,"Mediterranean, European, Spanish, Catalan, Fusion",4.5,,"Carrer de Corsega, 400","Carrer de Còrsega, 400, 08037 Barcelona, Spain",41.4001807,2.1643875
274,Puglia in Tavola,,"Italian, Pizza, Fast Food, Mediterranean, Street Food",4.5,,Carrer Dels Escudellers 41,"Carrer dels Escudellers, 80002 Barcelona, Spain",41.3799218,2.1766799
275,Restaurant La Ferreria Des De 1987,,€20 - €500,4.5,,"Carrer de Neptu, 4","Carrer de Neptú, 08194 Terrassa, Spain",41.5384238,2.033766
276,Restaurante La Perla BCN,,€25 - €85,4.5,,"Calle Paseo de la exposicion, 62","Catalonia, Spain",41.66667,2.0
277,Osmosis,,,4.5,,Aribau 100,"Aribau, 08204 Sabadell, Spain",41.5283818,2.1105725
278,La Llimona,,"Mediterranean, Spanish, Catalan, European",4.5,,"Carrer De Constanca, 6","Carrer de Constança, 08021 Barcelona, Spain",41.3881034,2.1358747
279,Restaurant Sergi de Meia,,€21 - €60,4.5,,Carrer Aribau 106,"Aribau, 08204 Sabadell, Spain",41.5283818,2.1105725
280,Palo Cortao,,,4.5,,"C/ Nou de la Rambla, 146","Nou de la Rambla, Avinguda del Paral·lel, 08001 Barcelona, Spain",41.3750759,2.1702821
281,Lagman Restaurant,,€25 - €50,5.0,,C/ Taquigraf Garriga 66,"Carrer del Taquigraf Garriga, 08292 Esparreguera, Spain",41.5387347,1.8662983
282,Vigo Restaurant,,,4.5,,"Calle Aribau, 27","Aribau, 08204 Sabadell, Spain",41.5283818,2.1105725
283,Sushifresh,,€15 - €30,4.5,,Via Augusta 65 Shop 1,"Via Augusta, 08021 Barcelona, Spain",41.399432,2.1440931
284,StoreCafe,,"Mediterranean, Spanish, Catalan",4.0,,Travessera de Dalt 25,"Store Café / El Arte, Travessera de Dalt, 25-27, 8 Barcelona, Spain",41.4087389,2.1523731
285,La Caleta de Sants,,€3 - €13,4.5,,"Carretera de la Bordeta, 54","Carretera de la Bordeta, 08014 Barcelona, Spain",41.3727768,2.1426638
286,Pirineu en Boca,,€6 - €50,4.5,,"Carrer de Girona, 17","Carrer de Girona, 17, 08100 Mollet del Vallès, Spain",41.5342935,2.2072746
287,La Mundana,,€15 - €50,4.5,,"Calle Vallespir, 93","Carrer Vallespir, 08400 Granollers, Spain",41.5908788,2.287784
288,Mirilla,,€14 - €46,4.5,,"C/Regomir,16","Mirilla, Carrer del Regomir, 16, 08002 Barcelona, Spain",41.3811354,2.1796727
289,Cerveceria Catalana,,,4.5,,"Carrer de Mallorca, 236","Cervecería Catalana, Carrer de Mallorca, 236, 08008 Barcelona, Spain",41.3924032,2.1609008
290,Pampero,,€22 - €45,4.5,,"Plaza Doctor Letamendi, 25","Catalonia, Spain",41.66667,2.0
291,Vigadi,,€9 - €25,4.5,,"Carrer de l""Oreneta","Carrer de l'Oreneta, 08006 Barcelona, Spain",41.3997378,2.1527072
292,Moments,,,4.5,,"Passeig de Gracia, 38-40","Mandarin Oriental, Passeig de Gràcia, 38-40, 08007 Barcelona, Spain",41.3913809,2.166914
293,La Flauta,,,4.5,,"Calle D'aribau, 23","La Flauta, Carrer d'Aribau, 23, 08011 Barcelona, Spain",41.3868372,2.1610303
294,H1898,,€27 - €54,4.5,,"C/ La Rambla, 109","Tavertet, Catalonia, Spain",42.0135355,2.425772
295,Copitas,,"French, Wine Bar",5.0,,Carrer Rossello 473,"Carrer Rosselló, 08242 Manresa, Spain",41.7320892,1.8287143
296,Les Dues Sicilies,,"Italian, Pizza, Fast Food, Mediterranean, European",4.5,,Carrer Carders 22,"Carrer dels Carders, 08204 Sabadell, Spain",41.5282016,2.1129728
297,Suarna,,"Seafood, Mediterranean, European, Spanish, Catalan",4.0,,"C/ Llanca, 1","Munni Supermercat, Carrer de Llançà, 1, 8015 Barcelona, Spain",41.3759387,2.1511939
298,Linia,,€25 - €39,4.5,,Gran Via de les Corts Catalanes 619-621,"Gran Via de les Corts Catalanes, 08018 Barcelona, Spain",41.4101378,2.1957677
299,Can Fisher,,,4.5,,"Avenida Litoral, 64","Ronda Litoral, 08039 Barcelona, Spain",41.3600484,2.1660035
300,Bocca di Bonifacio,,€12 - €20,4.5,,"Carrer de Sardenya, 360","Carrer de Sardenya, 360, 08088 Barcelona, Spain",41.4048052,2.1716579
301,Arrosseria Gaudi,,,4.5,,Avenida de Gaudi,"Avinguda de Gaudí, Barcelona, Spain",41.4070281,2.1744033
302,Mino,,,4.5,,Carrer Del Carme 19,"Carrer del Carme, 19, 08380 Malgrat de Mar, Spain",41.6465614,2.7431589
303,La Taverna de la Ronda,,"Mediterranean, Spanish, Catalan",4.5,,"Ronda de Sant Pere, 12","Ronda de Sant Pere, 12, 08010 Barcelona, Spain",41.3884131,2.1717014
304,El Raco de l'Aguir,,€15 - €35,4.5,,"Tamarit, 117","Carrer de Tamarit, 8015 Barcelona, Spain",41.3739535,2.1546988
305,Akashi Gallery,,€15 - €30,4.5,,"Carrer Rossello, 197","Carrer Rosselló, 08242 Manresa, Spain",41.7320892,1.8287143
306,Parodia Bar,,€8 - €15,4.5,,197 Calle Mallorca,"Carrer Mallorca, 08110 Montcada i Reixac, Spain",41.4936096,2.1863173
307,Fenicia,,,4.5,,"Psg Antoni, 9","Catalonia, Spain",41.66667,2.0
308,El Magraner Boig,,€5 - €15,4.5,,"Calle D'en Robador, 22","El Magraner Boig, Carrer d'en Robador, 22, 08001 Barcelona, Spain",41.3792938,2.1708328
309,Obama,,"Bar, British, Pub",4.0,,"Gran Via de les Corts Catalanes, 603","Obama, Gran Via de les Corts Catalanes, 603, 08007 Barcelona, Spain",41.3888546,2.1670577
310,Igueldo,,"Spanish, Grill",4.5,,C/ Rosello 186,"Carrer del Roselló, 08303 Mataró, Spain",41.5388572,2.4250429
311,Makamaka,,,4.5,,"Passeig de Joan de Borbo, 76, 08039 Barcelona, Spain","Passeig de Joan de Borbó, 72 Barcelona, Spain",41.3794941,2.1874593
312,La Lubina,,,4.5,,Calle Viladomat 257,"Viladomat, Plaça de l'Ajuntament, 08698 la Nou de Berguedà, Spain",42.1671835,1.884449
313,Restaurante Japones Tempura-ya,,€32 - €135,4.5,,"Muntaner, 153","Tempura Ya, Carrer de Muntaner, 153, 08036 Barcelona, Spain",41.3909575,2.1534749
314,NoSe Cocktail Bar,,€5 - €15,4.5,,Passeig del Born 21 Barcelons,"Catalonia, Spain",41.66667,2.0
315,Restaurante Hofmann,,"Mediterranean, European, Spanish",4.5,,C/ La Granada del Penedes 14-16,"la Granada, Catalonia, Spain",41.3766679,1.7186912
316,Grill Room - Bar Thonet,,€15 - €35,4.5,,Carrer dels Escudellers 8,"Restaurante Grill Room, Carrer dels Escudellers, 8, 08002 Barcelona, Spain",41.3792408,2.1761073
317,Can Kenji,,,4.5,,Carrer Rossello 325,"Carrer Rosselló, 08242 Manresa, Spain",41.7320892,1.8287143
318,Txirimiri,,"Bar, Mediterranean, European, Spanish",4.5,,"Carrer de la Princesa, 11","Magic Shop, Carrer de la Princesa, 11, CP 08003 Barcelona, Spain",41.3846293,2.1794265
319,Restaurant Gut,,,4.5,,"Carrer Perill, 13","Carrer del Perill, 08037 Barcelona, Spain",41.3998038,2.1620293
320,Camarote de en Tomas,,"Seafood, European, Spanish, Mediterranean",4.5,,"C/ Lleida, 3","Allegory of Lleida, Catalonia Square, Barcelona, Spain",41.3869043,2.1707289
321,La Pubilla,,,4.5,,Placa de la Llibertat 23,"Plaça de la Llibertat, La Concòrdia, Sabadell, Catalonia, Spain",41.5598135,2.0931827
322,Bo de B,,,4.5,,c/ Fusteria 14 cantonada Merce,"Catalonia, Spain",41.66667,2.0
323,Capet,,€30 - €50,4.5,,"Cometa, 5","Sant Llorenç Savall, Catalonia, Spain",41.6789779,2.0649643
324,Restaurante Vegetariano Arco Iris,,"Mediterranean, European, Spanish",4.5,,"Roger de Flor, 216","Roger de Flor, Carrer de Ribes, 08003 Barcelona, Spain",41.3925973,2.1813754
325,Paco Meralgo,,,4.5,,C/ Muntaner 171,"el Muntaner, Sobremunt, Catalonia, Spain",42.0316824,2.1622
326,DIREKTE Boqueria,,€30 - €55,5.0,,"Carrer de Les Cabres, 13","Carrer de les Cabres, 08001 Barcelona, Spain",41.3815387,2.1720428
327,Pla de la Garsa,,,4.5,,"Carrer dels Assaonadors, 13","Pla de la Garsa, Carrer dels Assaonadors, 13, CP 08003 Barcelona, Spain",41.3859117,2.1803291
328,Pappa Sven,,,4.5,,"Carrer de Villarroel, 22","Pappa Sven, Carrer de Villarroel, 22, 08011 Barcelona, Spain",41.3815011,2.1618049
329,Meneghina,,,4.5,,"Tiradors, 2 Next to Pl. Sant Agusti Vell","Catalonia, Spain",41.66667,2.0
330,Restaurant Embat,,,4.5,,"Mallorca, 304","Mallorca, Carrer de Mallorca, 08009 Barcelona, Spain",41.3968924,2.1667115
331,Spacca Napoli BCN,,€10 - €30,4.5,,"Carrer del Rec Comtal, 6 Barcelona","Carrer del Rec Comtal, 6, 08110 Montcada i Reixac, Spain",41.4689304,2.1861127
332,Bar Centro Burgers & Craft Beer,,,4.5,,"Calle Casp, 55","Carrer de Casp, 08013 Barcelona, Spain",41.3974988,2.1815631
333,Ca l'isidre,,€45 - €90,4.5,,Carrer De les Flors 12,"Ca l'Isidre, Carrer de les Flors, 12, 08001 Barcelona, Spain",41.3759578,2.1682015
334,Irati Taverna Basca,,€30 - €60,4.5,,"Calle Cardenal Casanas, 17","Carrer del Cardenal Casañas, 08001 Barcelona, Spain",41.3818517,2.173416
335,Restaurante Leku,,,4.5,,"Carrer de Joan Guell, 189","Carrer de Joan Güell, 189, 08028 Barcelona, Spain",41.3845892,2.1304794
336,Centric,,Spanish,4.5,,"Carrer de les ramelleres, 27","Carrer de les Ramelleres, 08001 Barcelona, Spain",41.384348,2.1685638
337,La pizza del Sortidor,,"Italian, Pizza",4.5,,Blasco de Garay 46,"Carrer de Blasco de Garay, 08015 Barcelona, Spain",41.3744643,2.1631961
338,Hammock Juice Station,,"Cafe, European",4.5,,Calle Mallorca 308,"Carrer Mallorca, 08110 Montcada i Reixac, Spain",41.4936096,2.1863173
339,Los asadores,,"Steakhouse, Latin, Barbecue, Argentinean",4.5,,"Avinguda de la Riera de Cassoles, 4","Avinguda de la Riera de Cassoles, 4, 08012 Barcelona, Spain",41.4016994,2.1511429
340,Prado de Flores,,€8 - €18,4.0,,"C/ Santa Anna , 11","Santa Anna, Vic, Catalonia, Spain",41.9194862,2.2567666
341,Barriguita,,€3 - €15,4.5,,Calle Diputacion 387,"Catalonia, Spain",41.66667,2.0
342,Nevermind Bar,,€3 - €10,4.5,,"Escudellers Blancs #3, Gotico","Oviso beer, Carrer dels Escudellers Blancs, 3, 80002 Barcelona, Spain",41.3806379,2.1770441
343,El Tastet de L'Artur,,€12 - €25,4.5,,"Carrer de Lepant , 273","Carrer de Lepant, 273, 8025 Barcelona, Spain",41.4046758,2.1760881
344,CocoVail Beer Hall,,€8 - €15,4.5,,Calle Arago 284 bis,"Carrer Aragó, 08870 Sitges, Spain",41.2387213,1.8155559
345,Espai Kru,,,4.5,,"Lleida, 7","Lleida, Passeig de Sant Joan, 2, 08003 Barcelona, Spain",41.3917633,2.1801488
346,En Ville,,,4.0,,"Carrer del Dr. Dou, 14","Carrer del Doctor Dou, 08001 Barcelona, Spain",41.3824367,2.1689745
347,Gorria,,"Mediterranean, European, Spanish",4.5,,"Calle Diputacion, 421","Catalonia, Spain",41.66667,2.0
348,Tunateca Balfego,,"Fusion, Japanese, Mediterranean",4.5,,Avenida Diagonal 439,"Avinguda Diagonal, Tunateca, 439, 08036 Barcelona, Spain",41.3939286,2.150334
349,Sushiraku,,€20 - €25,4.5,,"Calle Londres, 84","Carrer Londres, 08400 Granollers, Spain",41.5965593,2.2792652
350,My Bar,,,4.5,,Calle Ferran 8,"Cal Pau, Olèrdola, Catalonia, Spain",41.352786,1.7393472
351,Betlem Miscel.lania Gastronomica,,,4.5,,Girona 70,"Girona, Catalonia Square, Barcelona, Spain",41.3870006,2.169377
352,BEMBI,,,4.5,,Consell De Cent 377,"Consell de Cent, Carrer del Consell de Cent, 8015 Barcelona, Spain",41.3754015,2.143262
353,El Clot Restaurante Barcelona,,,4.5,,calle Aragon 600,"Catalonia, Spain",41.66667,2.0
354,La Panxa del Bisbe,,"Mediterranean, European, Spanish, Catalan",4.5,,Torrent de Les Flors 158,"Catalonia, Spain",41.66667,2.0
355,El Laurel,,€8 - €12,4.5,,"Carrer Floridablanca, 140","Carrer Floridablanca, 08301 Mataró, Spain",41.5390542,2.4534399
356,Amarre 69,,€4 - €30,4.5,,"Passeig Joan De Borbo, 69","Pg Joan de Borbó, Passeig de Joan de Borbó, 72 Barcelona, Spain",41.3800122,2.1871883
